ID,nei_sensing,lit_sensing,FoV,rVel,turn_prob,turn_prob_max,turn_prob_min,abandon_prob,picking_lit_dur,capacity,umin,umax,n_stddev,n_mean,escape_dist,call_scale,lit_threshold,repel_scale,log_rate,max_step_size,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
0,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
10,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,1,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
20,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,1,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
30,15,3,1.0471975512,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,1,10,5,10,0.5,0.025,x
