ID,com_model,cap_com,nei_sensing,lit_sensing,p_s2s,p_u2s,detectionDuration,FoV,rVel,turn_prob,turn_prob_max,turn_prob_min,abandon_prob,picking_lit_dur,capacity,umin,umax,n_stddev,n_mean,A0,Ae,alpha,noise_mean,noise_std,queue_size,filter_type,correction_mtd,escape_dist,call_scale_mult,call_scale_div,lit_threshold,repel_scale_mult,repel_scale_div,log_rate,max_step_size,x
N0-Q1-A1m1d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,5,0.025,x
N0-Q1-A2m1d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,2,1,5,1,1,5,0.025,x
N0-Q1-A4m1d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,4,1,5,1,1,5,0.025,x
N0-Q1-A6m1d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,6,1,5,1,1,5,0.025,x
N0-Q1-A8m1d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,8,1,5,1,1,5,0.025,x
N0-Q1-A10m1d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,1,5,1,1,5,0.025,x
N0-Q1-A1m2d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,2,5,1,1,5,0.025,x
N0-Q1-A1m4d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,4,5,1,1,5,0.025,x
N0-Q1-A1m6d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,6,5,1,1,5,0.025,x
N0-Q1-A1m8d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,8,5,1,1,5,0.025,x
N0-Q1-A1m10d-R1m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,10,5,1,1,5,0.025,x
N0-Q1-A1m1d-R2m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,2,1,5,0.025,x
N0-Q1-A1m1d-R4m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,4,1,5,0.025,x
N0-Q1-A1m1d-R6m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,6,1,5,0.025,x
N0-Q1-A1m1d-R8m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,8,1,5,0.025,x
N0-Q1-A1m1d-R10m1d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,10,1,5,0.025,x
N0-Q1-A1m1d-R1m2d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,2,5,0.025,x
N0-Q1-A1m1d-R1m4d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,4,5,0.025,x
N0-Q1-A1m1d-R1m6d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,6,5,0.025,x
N0-Q1-A1m1d-R1m8d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,8,5,0.025,x
N0-Q1-A1m1d-R1m10d,soundv2,0,15,3,1,1,0,6.2831853072,0.1,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,10,5,0.025,x
